protein,det_rate_train_val,det_rate_test,log2_mean_train_val,log2_sd_train_val,log2_mean_test,log2_sd_test
ADH1,1.0,1.0,29.829565,0.7485997,29.836994,0.70667446
ADH2,0.9549006474659523,0.9553210597215985,24.849771,2.2015047,25.103941,2.29818
ADH3,0.9997767358785443,1.0,25.27023,0.64198786,25.210873,0.603661
ADH4,1.0,1.0,26.24714,1.298344,26.335451,1.0632921
ADH5,0.9772270596115205,0.9923664122137404,21.440153,0.980647,21.454073,0.8800695
ADH6,0.9996651038178165,1.0,24.574419,0.7776633,24.623322,0.7270033
ADH7,0.379883902656843,0.29883251010327794,23.56312,2.6628523,22.298418,2.8189216
ADI1,0.9162759544541192,0.9526268522676246,20.625557,1.056047,20.832489,1.0148424
ADK1,1.0,1.0,27.372898,0.50125676,27.329971,0.45643285
ADK2,0.8106720250055816,0.8798832510103278,20.540527,1.0626681,20.522366,0.9790841
ADO1,1.0,1.0,26.055208,0.48376855,26.101799,0.44699383
ADP1,0.9781201160973432,0.9901212393354288,20.962135,0.5137418,21.034248,0.53123254
ADR1,0.9707524000893056,0.9667714414009879,21.233274,0.9966285,20.968552,1.1130228
ADY2,0.495088189327975,0.4997754827121688,23.764593,1.6028785,24.361149,1.5364425
ADY3,0.34326858673811117,0.308486753480018,19.747112,1.1905844,19.682568,1.1876174
AEP1,0.46684527796383124,0.46789402784014367,17.816107,1.0315287,17.703718,1.014507
AEP2,0.8296494753293145,0.8273462056578357,17.930565,1.641172,17.951612,1.5773674
AEP3,0.7539629381558384,0.7209250112258644,17.162823,0.7414851,17.128683,0.70590633
AFB1,0.0,0.0,,,,
AFG1,0.893279749944184,0.9339919173776381,19.53512,0.7847309,19.681204,0.80902815
AFG2,0.9796829649475329,0.9914683430624158,22.747686,0.8186088,22.748352,0.8175674
AFG3,0.9926322839919625,0.9975303098338572,22.013325,0.55324763,22.108168,0.5797774
AFI1,0.15025675373967404,0.1207903008531657,18.373577,1.220621,18.32853,1.2787724
AFR1,0.02902433578923867,0.021104625056129322,18.065708,0.71416306,18.097055,0.52904
AFT1,0.7112078588970753,0.6109115401885945,17.416412,1.3043491,17.32592,1.2041605
AFT2,0.0,0.0,,,,
AGA2,0.0016744809109176155,0.003143242029636282,19.7883,0.6649668,19.56101,1.0017635
AGC1,0.9298950658629158,0.9387067804220925,19.369852,1.4052726,19.34467,1.3487777
AGE1,0.45903103371288234,0.42343960484957344,17.412148,1.2648541,17.386337,1.2144308
AGE2,0.9437374413931681,0.9467894027840144,19.54762,1.2779478,19.591572,1.2159196
AGP1,0.9834784550122795,0.9941625505163898,21.799572,1.0529344,21.88314,0.86399287
AGP2,0.19982138870283545,0.14997754827121687,19.334192,0.76743734,19.201674,0.80941075
AGX1,0.9924090198705068,0.9952851369555455,23.009449,1.3102753,23.139858,1.3220372
AHA1,0.9997767358785443,1.0,24.085838,0.6174269,24.152733,0.66492176
AHC1,0.04420629604822505,0.038616973506960035,15.067902,0.6894207,15.0115185,0.7778396
AHC2,0.13418173699486494,0.13920071845532106,18.386839,0.8075797,18.409588,0.89944047
AHP1,1.0,1.0,28.340836,0.677229,28.298357,0.58751744
AI1,0.4172806430006698,0.3506960035922766,20.05912,1.1064129,20.306595,1.3299718
AI2,0.3198258539852646,0.37292321508756177,17.038023,1.0601697,16.947199,0.85605484
AI4,0.21243581156508148,0.5965424337674001,18.889118,0.6986067,20.622469,1.3973101
AI5_ALPHA,0.2894619334672918,0.14301751234845084,16.962605,0.49274373,16.934721,0.48017392
AIF1,0.5779191783880331,0.7180062864840593,19.772415,1.1411768,19.750685,1.0604347
AIM10,0.8315472203616878,0.7871576111360574,19.396183,0.5884197,19.36635,0.60274297
AIM11,0.4617102031703505,0.4272563987427032,17.876486,0.77803797,17.95095,0.74803084
AIM14,0.9390488948425988,0.9411764705882353,20.284573,1.2543708,20.344582,1.2408473
AIM17,1.0,1.0,24.365467,0.9245081,24.402395,0.91342384
AIM18,0.9617102031703505,0.9833857207004939,21.017197,0.98774195,21.10696,0.9847212
AIM19,0.9140433132395624,0.9539739559946115,20.7427,1.0937357,21.054667,1.0387287
AIM2,0.9996651038178165,0.9995509654243376,24.257528,1.0788121,24.62569,1.1315339
AIM20,0.0,0.0,,,,
AIM21,0.9912926992632284,0.9970812752581949,21.340467,0.6360636,21.469532,0.6464653
AIM22,0.8505246706854208,0.8547373147732376,19.606367,1.2373623,19.608135,1.1802719
AIM23,0.7926992632283992,0.7903008531656938,19.158487,0.9773074,19.212149,0.9817512
AIM24,0.995088189327975,0.9993264481365065,22.180391,0.67118907,22.238834,0.659151
AIM25,0.8847957133288681,0.9023349797934441,19.570728,1.1177564,19.581547,1.1062722
AIM29,0.9877204733199375,0.9952851369555455,23.26016,0.47682053,23.153471,0.50745386
AIM3,0.9514400535833891,0.9788953749438707,20.4562,1.2568233,20.629927,1.3125343
AIM32,0.6380888591203394,0.6302200269420746,18.791765,0.8781323,18.790571,0.8935455
AIM33,0.02902433578923867,0.02828917826672654,19.935472,0.6965122,19.968344,0.74756265
AIM34,0.1885465505693235,0.0976650202065559,19.044569,0.5613143,19.04079,0.5880808
AIM36,0.9774503237329761,0.9896722047597665,21.324377,1.1342144,21.557907,1.163383
AIM39,0.8671578477338692,0.8563089357880557,20.655767,0.7215391,20.567904,0.7251199
AIM4,0.036838580040187544,0.024472384373596768,17.33509,0.48405194,17.253536,0.4688967
AIM41,0.9770037954900648,0.9930399640772339,22.642548,1.0356984,22.739893,1.1570567
AIM44,0.0,0.0,,,,
AIM45,0.9861576244697478,0.9941625505163898,22.286757,0.71889114,22.39136,0.6877253
AIM46,0.986715784773387,0.9928154467894028,21.950792,1.066947,21.919151,1.0915604
AIM6,0.964947532931458,0.9802424786708577,20.787073,1.0764146,20.841509,1.1496108
AIM7,0.9970975664210762,0.9984283789851819,23.31814,0.5802449,23.312439,0.58413815
AIM9,0.9987720473319938,0.9993264481365065,23.312304,0.40652016,23.374414,0.42949167
AIP1,0.9998883679392722,1.0,24.27087,0.6888516,24.225393,0.7078494
AIR1,0.5465505693235098,0.5527615626403233,16.98026,1.0516628,17.103706,1.0377841
AIR2,0.9642777405670908,0.9645262685226762,19.112194,0.8964999,19.125406,0.88969386
AKL1,0.983813351194463,0.9950606196677144,21.098322,0.44098958,21.110222,0.4248454
AKR1,0.9902880107166778,0.9952851369555455,21.037844,0.6746431,20.933949,0.6764074
AKR2,0.28432685867381113,0.2173327346205658,16.883022,0.7048021,16.81871,0.7100605
ALA1,0.8318821165438715,0.8316120341266278,25.478287,0.38111043,25.474789,0.34566584
ALB1,0.9926322839919625,0.9948361023798833,22.128944,1.197344,22.099098,1.2241079
ALD2,0.9975440946639875,0.9995509654243376,22.947403,1.1557006,22.949844,1.0208806
ALD3,0.9989953114534494,0.9991019308486754,24.7309,1.6618588,25.185171,1.667523
ALD4,1.0,1.0,26.72784,1.0871189,26.88902,1.1008826
ALD5,0.997209198481804,0.9988774135608441,22.766962,0.7357297,22.625582,0.707027
ALD6,1.0,1.0,27.39737,0.62057805,27.587633,0.5825674
ALE1,0.9734315695467738,0.9896722047597665,21.75214,1.039467,21.732584,0.9610656
ALF1,0.1063853538736325,0.06443646160754378,18.099909,0.73334026,18.027946,0.74232066
ALG1,0.9914043313239562,0.9896722047597665,20.769394,0.8562491,20.796894,0.9588951
ALG11,0.9780084840366153,0.9820386169735069,20.441341,1.1349965,20.429258,1.1219993
ALG12,0.988055369502121,0.9943870678042209,21.82312,0.77114594,21.708492,0.8328129
ALG13,0.7659075686537173,0.7251908396946565,19.37273,0.8064866,19.475266,0.8230343
ALG14,0.3919401652154499,0.3733722496632241,19.544867,0.7247719,19.570726,0.7155873
ALG2,0.9709756642107613,0.9625056129321958,20.659431,0.805576,20.407394,0.8332118
ALG3,0.449430676490288,0.3895374943870678,17.864243,0.65762544,17.866667,0.6867621
ALG5,0.977561955793704,0.9865289627301302,19.544329,0.57707924,19.486628,0.6185447
ALG6,0.8543201607501675,0.8311629995509654,20.253191,0.8196644,20.192902,0.80357546
ALG7,0.03650368385800402,0.03704535249214189,16.365837,0.54883903,16.504879,0.56857073
ALG8,0.7895735655280196,0.805792546026044,18.022554,1.4089762,18.078064,1.344136
ALG9,0.9927439160526903,0.9966322406825325,22.71131,0.7767241,22.767357,0.8052892
ALK1,0.3305425318151373,0.305792546026044,15.851366,0.81672746,15.836613,0.760414
ALK2,0.22103148024112526,0.2590929501571621,15.790224,1.026051,16.115892,1.085417
ALO1,0.9991069435141773,0.9995509654243376,23.644587,0.7271238,23.590797,0.6846695
ALP1,0.012391158740790355,0.009878760664571173,15.790551,0.71043783,15.81499,0.6811238
ALR1,0.7496092877874525,0.7388863942523575,17.557848,0.91457677,17.593914,0.89511657
ALT1,0.9984371511498102,0.9991019308486754,24.209976,0.97422427,24.141563,1.0537803
ALT2,0.6559499888367939,0.5945217781769196,19.383253,0.6803241,19.2792,0.61841834
ALY1,0.9159410582719357,0.8753929052537045,18.783772,0.59638965,18.71939,0.56369144
ALY2,0.8868050904219692,0.9279299506061967,18.807144,0.8726671,18.958057,0.85194635
AMD1,0.9973208305425318,0.9984283789851819,22.508913,0.5677835,22.491331,0.5785009
AMD2,0.04074570216566198,0.02155365963179165,17.007975,1.4275397,16.480255,0.9191497
AME1,0.8065416387586515,0.7799730579254602,18.168547,0.8355142,18.102257,0.790116
AMN1,0.0,0.0,,,,
AMS1,0.9996651038178165,1.0,23.256723,0.8851057,23.31313,1.0750754
ANB1,0.8485152935923197,0.916030534351145,21.783644,1.3451909,21.909935,1.2679613
ANP1,0.9970975664210762,0.9975303098338572,22.283491,0.50498295,22.297035,0.51077604
ANR2,0.9576914489841483,0.9728334081724292,20.379404,1.3991731,20.450874,1.4448022
ANT1,0.9814690779191784,0.988998652896273,21.154633,0.71030307,21.192043,0.6683615
ANY1,0.2922527349854878,0.30130220026942073,17.452324,1.0336272,17.66152,0.9919864
AOS1,0.9833668229515516,0.9930399640772339,21.443233,0.3519229,21.477606,0.37022707
APA1,0.9989953114534494,0.9995509654243376,24.870634,0.5967746,24.877808,0.62830657
APA2,0.6859790131725831,0.6876964526268523,19.258982,0.6508321,19.284937,0.6700981
APC1,0.7083054253181513,0.6279748540637629,16.668875,1.2256043,16.685404,1.1777095
APC11,0.0020093770931011385,0.001571621014818141,17.457296,1.624887,17.869436,1.6758014
APC2,0.10895289127037285,0.08284687920969915,15.9537945,0.6132967,15.911563,0.6592897
APC4,0.13540968966287117,0.09968567579703637,14.974632,1.4406395,15.019863,1.4476526
APC5,0.1461263674927439,0.12325999101930848,17.424866,0.5330216,17.41976,0.56766474
APC9,0.032038401428890376,0.04400538841490795,16.931324,0.816226,17.061932,0.8160614
APD1,0.9925206519312346,0.997305792546026,21.245157,0.9347287,21.381016,0.88874316
APE1,1.0,1.0,25.33578,0.7352308,25.34578,0.7446676
APE2,0.9998883679392722,1.0,24.511131,0.60181046,24.560816,0.6296368
APE3,0.9979906229068989,0.9988774135608441,24.52255,0.7252617,24.768383,0.6933287
APE4,0.9995534717570886,0.9984283789851819,23.30088,0.6014719,23.458454,0.66063654
APJ1,0.48113418173699485,0.44162550516389765,15.722624,1.0026662,15.853409,1.0754772
APL1,0.9829202947086403,0.9914683430624158,21.633633,0.769699,21.58932,0.7775206
APL2,0.9937486045992409,0.9977548271216884,21.31565,0.7611816,21.27466,0.7717721
APL3,0.9832551908908238,0.9925909295015716,20.963902,0.68920106,21.018686,0.66616046
APL4,0.9955347175708864,0.9988774135608441,22.207584,0.9445102,22.173117,0.9405895
APL5,0.9881670015628489,0.9957341715312079,21.755146,0.7114435,21.739895,0.73380846
APL6,0.9893949542308551,0.9970812752581949,21.146463,0.4477675,21.078068,0.4312005
APM1,0.9866041527126591,0.9955096542433768,21.214796,0.72478384,21.206007,0.73384154
APM2,0.8503014065639651,0.804445442299057,18.429224,1.0338528,18.444174,1.0318128
APM3,0.9784550122795267,0.9894476874719353,20.872505,0.5751782,20.76375,0.622833
APM4,0.9851529359231972,0.9930399640772339,20.408548,0.96165234,20.397882,0.91715264
APN1,0.9946416610850636,0.9968567579703638,21.454712,0.4668472,21.438812,0.47599566
APN2,0.5212100915382898,0.5435563538392456,17.093075,1.1402241,17.153494,1.1655968
APP1,0.23509711989283322,0.17512348450830714,15.115202,0.7299463,15.071627,0.707054
APQ12,0.4183969636079482,0.39604849573417156,17.171375,1.0540293,17.190933,1.0226424
APS1,0.9743246260325965,0.9809160305343512,20.5979,0.43656123,20.601347,0.45910951
APS2,0.9829202947086403,0.988998652896273,21.474245,0.761202,21.48897,0.73167956
APS3,0.9791248046438937,0.9838347552761563,21.554401,0.67337406,21.596676,0.6729999
APT1,0.999330207635633,0.9993264481365065,24.220718,0.7230832,24.312962,0.691717
APT2,0.8395847287340924,0.7779524023349798,20.919975,1.1727834,20.751797,1.0693346
AQR1,0.5740120562625586,0.6100134710372699,18.980516,1.0979099,19.18791,1.0536286
AQY2,0.0,0.0,,,,
AQY3,0.36447867827640096,0.33902110462505614,17.082136,0.84188724,16.993921,0.7622422
ARA1,1.0,1.0,25.739735,0.6678512,25.874134,0.725108
ARA2,0.8323286447867828,0.9043556353839246,21.634966,1.0373886,21.671076,1.1456761
ARB1,0.9998883679392722,1.0,25.766079,0.6425102,25.861063,0.65059215
ARC1,0.9988836793927216,0.9993264481365065,25.34023,0.44985375,25.368437,0.48221594
ARC15,0.9996651038178165,1.0,24.457346,0.5351972,24.494947,0.5465768
ARC18,0.996539406117437,0.998652896273013,23.98857,0.54019666,24.042646,0.5775569
ARC19,0.9992185755749051,0.9995509654243376,23.677727,0.43798926,23.687315,0.44868657
ARC35,0.9991069435141773,1.0,24.265078,0.5050856,24.303202,0.52887064
ARC40,0.9994418396963608,1.0,23.766489,0.52527434,23.749395,0.5455931
ARD1,0.9984371511498102,0.998652896273013,23.33244,0.3436574,23.378843,0.33872727
ARE1,0.7442509488725162,0.7043107319263583,18.94037,1.332751,18.901428,1.2647424
ARE2,0.9973208305425318,0.9982038616973506,23.887285,0.8392195,23.998968,0.8398959
ARF1,1.0,1.0,26.937508,0.45998114,26.9739,0.4423814
ARF2,0.9995534717570886,0.9997754827121689,25.656513,0.6625072,25.704174,0.7069277
ARF3,0.9891716901093994,0.9955096542433768,21.388136,0.5720487,21.307232,0.55715525
ARG1,1.0,1.0,26.20773,0.7426701,26.062134,0.6834721
ARG2,0.7779638312123242,0.7597665020206555,18.864967,0.87629473,18.850897,0.8290273
ARG3,0.9979906229068989,0.9970812752581949,23.102514,0.9599891,23.009398,0.82187814
ARG4,0.9998883679392722,1.0,25.7199,0.7793237,25.670956,0.7746018
"ARG5,6",0.9996651038178165,0.9993264481365065,24.060957,0.71182746,23.9407,0.67632365
ARG7,0.9988836793927216,0.9993264481365065,23.569992,0.6429195,23.504982,0.6328439
ARG8,0.9995534717570886,0.9997754827121689,23.023565,1.0595113,22.717142,0.9998278
ARG81,0.6155391828533154,0.6248316120341266,18.028095,1.2795557,18.064714,1.2551689
ARG82,0.9201830765795936,0.9510552312528064,19.23867,0.9265111,19.370663,0.96553683
ARH1,0.9905112748381335,0.9970812752581949,21.482742,0.70678234,21.505205,0.7316879
ARI1,0.9988836793927216,0.9988774135608441,24.208696,0.5936548,24.126677,0.59896624
ARK1,0.8603482920294708,0.8318365514144589,18.833723,0.59011286,18.784864,0.5842885
ARL1,0.9998883679392722,0.9997754827121689,23.453697,0.44570914,23.386936,0.45818895
ARL3,0.9438490734538959,0.9243376740008981,19.730337,0.83085877,19.715029,0.8500335
ARN1,0.02567537396740344,0.031207903008531657,18.769943,1.2532518,19.047407,1.2654208
ARN2,0.16644340254521098,0.10642119443197126,18.821468,1.3297389,18.68262,1.1914201
ARO1,0.9997767358785443,0.9995509654243376,24.092384,0.44267255,24.182093,0.40541807
ARO10,0.9526680062513954,0.7667265379434216,22.131886,1.3129708,21.725115,1.47523
ARO2,0.9986604152712659,0.9995509654243376,23.6352,0.56919193,23.579998,0.6100236
ARO3,0.9991069435141773,0.9995509654243376,24.44351,0.5626811,24.322298,0.53457445
ARO4,1.0,1.0,25.940805,0.6193923,25.930561,0.559388
ARO7,0.9966510381781648,0.9984283789851819,23.188238,0.56228554,23.14555,0.5443618
ARO8,0.9998883679392722,1.0,26.014235,0.9787729,25.988052,0.98995185
ARO80,0.575128376869837,0.42388863942523575,16.283344,0.7840006,16.194248,0.74727696
ARO9,0.9917392275061397,0.9934889986528963,22.308462,1.0198704,21.764738,1.1482785
ARP1,0.2595445411922304,0.20229007633587787,15.69076,0.89350986,15.652351,0.8917795
ARP10,0.0,0.0,,,,
ARP2,0.9997767358785443,1.0,24.334871,0.44012097,24.42458,0.46855983
ARP3,0.9998883679392722,1.0,24.423111,0.57444286,24.423147,0.6074552
ARP4,0.9897298504130386,0.9968567579703638,21.807354,0.706915,21.77355,0.71474
ARP5,0.9840366153159187,0.9937135159407274,21.058979,0.96938217,21.00727,1.0001762
ARP6,0.77249386023666,0.7790749887741356,17.55351,0.7116686,17.515991,0.7576774
ARP7,0.9832551908908238,0.9939380332285586,21.861797,0.71848,21.859823,0.74350375
ARP8,0.9866041527126591,0.9950606196677144,20.452793,0.5604438,20.410357,0.5793246
ARP9,0.9870506809555705,0.9939380332285586,22.22696,0.53188795,22.182493,0.4976071
ART10,0.4303415941058272,0.428378985181859,18.00194,0.9439234,18.02762,0.9195295
ART5,0.5773610180843939,0.6079928154467894,17.972254,1.3205268,18.006493,1.2612534
ARV1,0.0,0.0,,,,
ARX1,0.9992185755749051,0.9995509654243376,24.04495,0.6919611,24.03814,0.71231055
ASA1,0.15438713998660417,0.10327795240233498,15.507798,0.42690197,15.45031,0.4192179
ASC1,1.0,1.0,28.697746,0.6350024,28.75848,0.605282
ASE1,0.03572225943290913,0.03704535249214189,15.820195,0.55771047,15.632238,0.51904416
ASF1,0.9886135298057602,0.9957341715312079,21.634165,1.180749,21.666147,1.0590823
ASF2,0.0,0.0,,,,
ASG1,0.9813574458584505,0.9905702739110912,21.688974,0.8031611,21.729012,0.7884736
ASG7,0.0,0.0,,,,
ASH1,0.5650814914043313,0.482038616973507,15.823672,0.6328317,15.836065,0.62914056
ASI1,0.07311899977673587,0.05568028738212842,14.126968,0.7797323,14.0551,0.8772147
ASI2,0.17258316588524225,0.18118545127974853,18.52807,0.9465714,18.519464,0.89185625
ASI3,0.20250055816030363,0.22406825325550067,17.178673,0.82702714,17.237614,0.7858361
ASK1,0.8242911364143782,0.7532555006735518,17.857004,0.7174366,17.91695,0.69963884
ASK10,0.9791248046438937,0.9865289627301302,20.189041,0.35945627,20.096647,0.37836444
ASM4,0.956463496316142,0.9472384373596767,20.459948,0.8397841,20.394402,0.82319593
ASN1,0.9998883679392722,1.0,26.284843,0.5513251,26.165792,0.5051837
ASN2,0.9998883679392722,1.0,24.908901,0.38371974,24.867504,0.35098633
ASP1,0.9986604152712659,0.9993264481365065,23.049984,0.5295087,23.066755,0.52061504
ASP3-2,0.01864255414154945,0.012348450830713965,21.49644,1.8887771,20.471819,0.8709044
ASR1,0.0,0.0,,,,
AST1,0.9853762000446529,0.9934889986528963,21.153343,0.4687128,21.097315,0.4760917
AST2,0.964166108506363,0.9699146834306241,20.395014,1.0624882,20.23148,1.0807153
ATC1,0.30810448760884124,0.286484059272564,18.696514,0.6095992,18.756033,0.6000446
ATE1,0.930453226166555,0.9272563987427032,19.389547,0.68811405,19.365662,0.6697912
ATF1,0.4752176825184193,0.3924562191288729,17.12218,0.9204505,17.043707,0.9180768
ATF2,0.5033489618218352,0.5370453524921419,19.94551,1.0316435,20.173355,1.045441
ATG1,0.9405001116320607,0.9241131567130669,19.267454,1.0280898,19.239668,1.0242524
ATG10,0.15516856441169904,0.12640323304894477,16.509272,0.46805593,16.468447,0.48912793
ATG11,0.7398972985041304,0.6677144140098787,18.047503,1.0597832,18.154165,0.9490885
ATG12,0.05112748381335119,0.03367759317467445,15.899019,0.48304302,15.838701,0.5135417
ATG13,0.8216119669569101,0.7714414009878761,17.784794,0.9294899,17.736862,0.88995177
ATG15,0.12692565304755526,0.06421194431971262,16.846863,1.1583349,16.815212,1.1932882
ATG16,0.38948425987943736,0.31656937584193984,16.049854,1.0309074,16.124048,0.96746486
ATG17,0.7087519535610627,0.6284238886394252,16.858507,1.2066859,16.938673,1.1531336
ATG18,0.9843715114981022,0.9744050291872475,20.570076,0.9432008,20.486631,0.93504304
ATG19,0.5971198928332218,0.5727436012572968,18.487791,1.4080269,18.409883,1.3981493
ATG2,0.851752623353427,0.8304894476874719,18.547579,0.83314955,18.50008,0.80157894
ATG20,0.943067649028801,0.9418500224517288,19.012781,0.53816634,18.988232,0.5249179
ATG21,0.9767805313686091,0.9867534800179614,20.394363,0.64683676,20.334188,0.63481164
ATG22,0.5344943067649028,0.5498428378985182,17.74652,1.1307237,17.913513,1.1091913
ATG23,0.8432685867381112,0.8365514144589133,18.113913,1.0219958,18.141941,0.97810876
ATG26,0.9400535833891493,0.9330938482263135,20.232027,1.1007704,20.23648,1.0794804
ATG27,0.9749944183969637,0.9849573417153121,21.09726,0.772067,21.112633,0.74833417
ATG29,0.7484929671801741,0.7088010776829816,18.591478,1.1099477,18.62264,1.0447555
ATG3,0.9832551908908238,0.9952851369555455,20.917948,0.866381,21.003267,0.96929985
ATG31,0.4991069435141773,0.469690166142793,17.635172,0.98287326,17.655746,0.96423703
ATG32,0.2260549229738781,0.17332734620565785,16.967142,0.61236435,16.851114,0.6023618
ATG33,0.37832105380665326,0.31589582397844634,20.6849,1.8148125,20.500937,1.6153886
ATG34,0.6501451216789462,0.7117198024247867,17.943583,1.1421399,17.913748,1.1485466
ATG36,0.3364590310337129,0.3217332734620566,16.251806,0.8304373,16.355785,0.8076778
ATG38,0.00323732976110739,0.00224517287831163,18.143045,0.7688042,17.702251,0.4816374
ATG39,0.07122125474436258,0.07745846430175124,18.83713,1.3964452,19.073689,1.3954439
ATG4,0.9372627818709534,0.9263583295913785,20.249859,1.343142,20.238218,1.3704705
ATG40,0.4959812458137977,0.5220026942074539,18.668406,1.3777387,19.006266,1.3075478
ATG41,0.0,0.0,,,,
ATG42,0.983813351194463,0.9941625505163898,21.291431,0.76086783,21.344233,0.7602183
ATG44,0.9958696137530699,0.9988774135608441,23.303547,0.74750173,23.34802,0.7318292
ATG45,0.32283991962491626,0.2633587786259542,18.520233,0.6641442,18.438616,0.6420232
ATG5,0.2156731413261889,0.21284238886394252,18.252007,1.0616884,18.309961,1.0231718
ATG7,0.968408126814021,0.9744050291872475,20.036453,0.70302624,20.011911,0.754716
ATG8,0.8232864478678277,0.7941176470588235,20.273327,1.6034622,20.33668,1.6214085
ATG9,0.5601696807323063,0.5781320161652447,19.773312,0.9098004,19.919312,0.9676194
ATH1,0.6187765126144229,0.7090255949708127,18.378899,0.9755066,18.652985,1.0895646
ATM1,0.9898414824737665,0.9898967220475977,20.827911,0.6840197,20.711277,0.71503156
ATO2,0.13585621790578253,0.151549169286035,22.121536,1.1541299,22.48208,1.2224036
ATO3,0.7663540968966287,0.7373147732375392,20.563705,0.9224269,20.644962,0.9600925
ATP1,1.0,1.0,28.203756,0.67223924,28.30846,0.67991257
ATP10,0.9845947756195579,0.9896722047597665,20.801165,0.5961551,20.586847,0.61285293
ATP11,0.9947532931457914,0.9982038616973506,22.384073,0.6371716,22.538797,0.6430608
ATP12,0.9861576244697478,0.995958688819039,21.729227,0.60960203,21.849432,0.6325173
